epoch,loss,acc,v loss, v acc
1,3.5064327716827393,0.13296020030975342,3.4217286109924316,0.15298506617546082
2,3.389010190963745,0.1374378204345703,3.4087727069854736,0.15298506617546082
3,3.3677048683166504,0.14166666567325592,3.3977439403533936,0.15298506617546082
4,3.3491718769073486,0.14440298080444336,3.394559621810913,0.15298506617546082
5,3.3196067810058594,0.14788557589054108,3.3728203773498535,0.15298506617546082
6,3.2739968299865723,0.16069652140140533,3.34501051902771,0.15049749612808228
7,3.21600341796875,0.16728857159614563,3.2795002460479736,0.14303481578826904
8,3.1375160217285156,0.18818408250808716,3.2243850231170654,0.1492537260055542
9,3.0655016899108887,0.20087066292762756,3.167642831802368,0.22014924883842468
10,3.003167152404785,0.20796020328998566,3.2784616947174072,0.15049751102924347
11,2.933589458465576,0.22114427387714386,3.193432092666626,0.1977611929178238
12,2.871699810028076,0.22736318409442902,3.1799097061157227,0.17661690711975098
13,2.802532911300659,0.2434079647064209,3.399315118789673,0.17164179682731628
14,2.7492432594299316,0.2577114403247833,3.112042188644409,0.1927860677242279
15,2.677825927734375,0.2766169011592865,3.166222333908081,0.20398010313510895
16,2.6025633811950684,0.295895516872406,3.063993453979492,0.23009949922561646
17,2.5272412300109863,0.3121890425682068,3.145496368408203,0.21517413854599
18,2.4604358673095703,0.32823383808135986,3.0682573318481445,0.20024874806404114
19,2.4029223918914795,0.34054726362228394,3.012481212615967,0.23507462441921234
20,2.3398489952087402,0.3559701442718506,2.973921298980713,0.22636815905570984
21,2.2883799076080322,0.3636816143989563,3.0543019771575928,0.20895521342754364
22,2.2472476959228516,0.36853232979774475,2.998436450958252,0.22014924883842468
23,2.1884512901306152,0.380348265171051,3.039442300796509,0.20895521342754364
24,2.15053129196167,0.39228853583335876,2.954359292984009,0.21517413854599
25,2.0942962169647217,0.4058457911014557,2.887449264526367,0.22636815905570984
26,2.053842067718506,0.4190298616886139,2.924590587615967,0.2512437701225281
27,2.006005048751831,0.43047261238098145,3.055250406265259,0.2064676582813263
28,1.9647128582000732,0.4395522177219391,3.0115933418273926,0.21393033862113953
29,1.9317439794540405,0.45062190294265747,2.981780529022217,0.19900497794151306
30,1.9048789739608765,0.4636816084384918,2.9959311485290527,0.2151741236448288
31,1.8506673574447632,0.4720149040222168,2.9044394493103027,0.21393035352230072
32,1.8165452480316162,0.4833332896232605,3.018899440765381,0.21766167879104614
33,1.7800095081329346,0.494651734828949,3.0943262577056885,0.20273631811141968
34,1.7496410608291626,0.5002487897872925,3.0590667724609375,0.20398008823394775
35,1.7137553691864014,0.5131840705871582,3.0445101261138916,0.2151741236448288
36,1.6823536157608032,0.5156716108322144,3.066060781478882,0.2151741236448288
37,1.638936996459961,0.5292288064956665,3.044694662094116,0.21641790866851807
38,1.6169815063476562,0.5344527959823608,3.080850124359131,0.21393033862113953
39,1.5863418579101562,0.5434079766273499,3.137995719909668,0.22139304876327515
40,1.5497760772705078,0.55534827709198,3.1056883335113525,0.22885572910308838
41,1.5141589641571045,0.5615671873092651,3.125338077545166,0.23383083939552307
42,1.4932901859283447,0.5684079527854919,3.1454803943634033,0.2363184094429016
43,1.4618961811065674,0.5757462382316589,3.1377811431884766,0.2537313401699066
44,1.4231317043304443,0.5866915583610535,3.147942066192627,0.232587069272995
45,1.3984529972076416,0.5963930487632751,3.200495481491089,0.2450248748064041
46,1.3691414594650269,0.606592059135437,3.163792371749878,0.2512437701225281
47,1.3362514972686768,0.6166666746139526,3.2854719161987305,0.25248757004737854
48,1.3097072839736938,0.6172885298728943,3.2717316150665283,0.25
49,1.2830815315246582,0.6259949803352356,3.355463743209839,0.24253731966018677
50,1.2424885034561157,0.6409203410148621,3.374976634979248,0.2587064504623413
51,1.2258365154266357,0.6445273756980896,3.3655128479003906,0.26616913080215454
